epoch,learning_rate,loss,val_loss
0,9.999999747378752e-05,0.33678555488586426,0.25660860538482666
1,9.999999747378752e-05,0.25080204010009766,0.29416337609291077
2,9.999999747378752e-05,0.22111600637435913,0.22416315972805023
3,9.999999747378752e-05,0.20511676371097565,0.1578182727098465
4,9.999999747378752e-05,0.19747117161750793,0.25591376423835754
5,9.999999747378752e-05,0.1947658807039261,0.16580559313297272
6,9.999999747378752e-05,0.18977832794189453,0.15283213555812836
7,9.999999747378752e-05,0.1759258508682251,0.1417098194360733
8,9.999999747378752e-05,0.17903193831443787,0.1485794484615326
9,9.999999747378752e-05,0.17311488091945648,0.1545957326889038
10,9.999999747378752e-06,0.1547345072031021,0.12795323133468628
11,9.999999747378752e-06,0.1400131732225418,0.12145546078681946
12,9.999999747378752e-06,0.1306137889623642,0.11566690355539322
13,9.999999747378752e-06,0.12107042968273163,0.11450852453708649
14,9.999999747378752e-06,0.1144639328122139,0.11327830702066422
15,9.999999747378752e-06,0.10820341110229492,0.10437207669019699
16,9.999999747378752e-06,0.1055133268237114,0.10245952755212784
17,9.999999747378752e-06,0.10329174995422363,0.09864374250173569
18,9.999999747378752e-06,0.09733425825834274,0.09708906710147858
19,9.999999747378752e-06,0.09693096578121185,0.1246202141046524
20,9.999999747378752e-06,0.0969015583395958,0.09237314760684967
21,9.999999747378752e-06,0.09086889028549194,0.10150180757045746
22,9.999999747378752e-06,0.08817898482084274,0.0900079756975174
23,9.999999747378752e-06,0.08627323806285858,0.09081627428531647
24,9.999999747378752e-06,0.08757199347019196,0.08902975171804428
25,9.999999747378752e-06,0.08620788902044296,0.0904187560081482
26,9.999999747378752e-06,0.08660860359668732,0.08887137472629547
27,9.999999747378752e-06,0.08187996596097946,0.09483526647090912
28,9.999999747378752e-06,0.0816505029797554,0.08798453211784363
29,9.999999747378752e-06,0.0778360664844513,0.09963317960500717
30,9.999999747378752e-06,0.0795542448759079,0.08497448265552521
31,9.999999747378752e-06,0.07880523055791855,0.08652755618095398
32,9.999999747378752e-06,0.07649922370910645,0.08509287238121033
33,9.999999747378752e-06,0.07467617094516754,0.0900631695985794
34,9.999999747378752e-06,0.07576890289783478,0.08694248646497726
35,9.999999747378752e-06,0.07385720312595367,0.09501754492521286
36,9.999999974752427e-07,0.06862518191337585,0.08971904218196869
37,9.999999974752427e-07,0.06886530667543411,0.09296508133411407
38,9.999999974752427e-07,0.0685645118355751,0.08992314338684082
39,9.999999974752427e-07,0.0684017762541771,0.08907133340835571
40,9.999999974752427e-07,0.0665706917643547,0.09629311412572861
41,1.0000000116860974e-07,0.0640697255730629,0.09385097771883011
42,1.0000000116860974e-07,0.06696328520774841,0.09185244143009186
