image_id,filename,majority
022857018aa597374b6c_x102_y115_577_371_609_403.png,022857018aa597374b6c,AMF
022857018aa597374b6c_x104_y91_477_114_513_152.png,022857018aa597374b6c,NMF
022857018aa597374b6c_x107_y48_442_532_472_553.png,022857018aa597374b6c,NMF
022857018aa597374b6c_x107_y69_521_589_542_613.png,022857018aa597374b6c,NMF
022857018aa597374b6c_x108_y110_407_453_441_482.png,022857018aa597374b6c,AMF
022857018aa597374b6c_x108_y30_332_281_376_338.png,022857018aa597374b6c,AMF
022857018aa597374b6c_x108_y40_322_411_355_450.png,022857018aa597374b6c,NMF
022857018aa597374b6c_x112_y50_388_217_420_239.png,022857018aa597374b6c,AMF
022857018aa597374b6c_x113_y57_0_565_35_598.png,022857018aa597374b6c,AMF
022857018aa597374b6c_x115_y104_88_263_132_308.png,022857018aa597374b6c,AMF
022857018aa597374b6c_x118_y86_360_332_421_395.png,022857018aa597374b6c,NMF
022857018aa597374b6c_x119_y86_367_189_418_239.png,022857018aa597374b6c,AMF
022857018aa597374b6c_x11_y122_503_495_520_524.png,022857018aa597374b6c,AMF
022857018aa597374b6c_x120_y128_471_522_501_549.png,022857018aa597374b6c,AMF
022857018aa597374b6c_x120_y31_297_265_334_301.png,022857018aa597374b6c,AMF
022857018aa597374b6c_x121_y31_507_354_539_378.png,022857018aa597374b6c,AMF
022857018aa597374b6c_x122_y95_91_409_132_450.png,022857018aa597374b6c,AMF
022857018aa597374b6c_x125_y35_0_212_29_252.png,022857018aa597374b6c,AMF
022857018aa597374b6c_x126_y44_351_25_385_53.png,022857018aa597374b6c,AMF
022857018aa597374b6c_x128_y31_11_567_32_595.png,022857018aa597374b6c,AMF
022857018aa597374b6c_x130_y85_50_341_75_377.png,022857018aa597374b6c,NMF
022857018aa597374b6c_x132_y74_369_591_391_619.png,022857018aa597374b6c,AMF
022857018aa597374b6c_x133_y56_376_563_404_598.png,022857018aa597374b6c,AMF
022857018aa597374b6c_x135_y61_232_319_263_351.png,022857018aa597374b6c,AMF
022857018aa597374b6c_x137_y25_376_576_411_615.png,022857018aa597374b6c,AMF
022857018aa597374b6c_x137_y75_176_560_203_598.png,022857018aa597374b6c,AMF
022857018aa597374b6c_x13_y102_442_287_475_319.png,022857018aa597374b6c,NMF
022857018aa597374b6c_x140_y77_68_322_96_358.png,022857018aa597374b6c,AMF
022857018aa597374b6c_x143_y35_267_553_298_594.png,022857018aa597374b6c,NMF
022857018aa597374b6c_x145_y106_299_535_341_573.png,022857018aa597374b6c,NMF
022857018aa597374b6c_x145_y82_212_546_239_578.png,022857018aa597374b6c,AMF
022857018aa597374b6c_x14_y105_429_330_456_360.png,022857018aa597374b6c,AMF
022857018aa597374b6c_x151_y39_208_616_233_639.png,022857018aa597374b6c,AMF
022857018aa597374b6c_x156_y58_521_320_546_356.png,022857018aa597374b6c,AMF
022857018aa597374b6c_x16_y95_5_120_35_158.png,022857018aa597374b6c,NMF
022857018aa597374b6c_x18_y80_490_24_510_49.png,022857018aa597374b6c,NMF
022857018aa597374b6c_x23_y19_281_604_317_639.png,022857018aa597374b6c,NMF
022857018aa597374b6c_x23_y96_188_33_222_71.png,022857018aa597374b6c,AMF
022857018aa597374b6c_x24_y61_410_151_451_181.png,022857018aa597374b6c,AMF
022857018aa597374b6c_x24_y86_4_59_30_87.png,022857018aa597374b6c,AMF
022857018aa597374b6c_x24_y98_8_129_40_167.png,022857018aa597374b6c,AMF
022857018aa597374b6c_x26_y112_348_105_391_132.png,022857018aa597374b6c,AMF
022857018aa597374b6c_x30_y122_205_300_237_327.png,022857018aa597374b6c,AMF
022857018aa597374b6c_x31_y70_503_80_530_111.png,022857018aa597374b6c,AMF
022857018aa597374b6c_x34_y91_236_561_271_594.png,022857018aa597374b6c,AMF
022857018aa597374b6c_x35_y93_444_440_468_468.png,022857018aa597374b6c,AMF
022857018aa597374b6c_x36_y60_308_7_344_44.png,022857018aa597374b6c,AMF
